,,,,,,,,,첫날,,,,,,
순위,영화명,개봉일,총 매출액,매출액 점유율, 총 관객수,총 스크린수,총 상영횟수,,첫날 관객수,첫날 매출액,첫날 스크린수,첫날 상영횟수,,마지막 상영날짜 (상영종료일),총 상영 일수 (Days)
65,프레디의 피자가게 2,2025-12-03,"2,289,789,610",0.2%,"233,039",571,"13,320",,"13,096","126,838,010",571,1288,,2025-12-31,28
66,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,"2,094,101,630",0.2%,"228,665",577,"11,271",,"7,890","59,456,200",423,503,,2025-08-21,28
67,연의 편지,2025-10-01,"2,121,006,890",0.2%,"226,952",597,"14,833",,"16,340","150,122,400",595,1478,,2025-10-29,28
,,,,,,,,,,,,,,,
69,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,"1,892,881,630",0.2%,"216,003",660,"11,063",,"6,510","49,708,500",439,631,,2026-01-08,28
,,,,,,,,,,,,,,,
71,브로큰,2025-02-05,"1,831,874,700",0.2%,"197,949",818,"21,420",,"42,561","376,594,860",805,3267,,2025-03-05,28
,,,,,,,,,,,,,,,
73,국보,2025-11-19,"1,832,743,070",0.2%,"193,597",521,"12,654",,9569,"86,754,260",484,802,,2025-12-17,28
74,스머프,2025-08-06,"1,701,796,430",0.2%,"193,014",639,"11,661",,15505,"131,766,240",587,948,,2025-09-03,28
,,,,,,,,,,,,,,,
76,백설공주,2025-03-19,"1,786,010,770",0.2%,"190,530","1,043","23,664",,"23,047","214,310,600",1043,3335,,2025-04-16,28
77,세계의 주인,2025-10-22,"1,830,046,400",0.2%,"189,721",358,"13,692",,"4,241","31,599,250",358,501,,2025-11-19,28
78,플로우,2025-03-19,"1,728,535,050",0.2%,"181,190",693,"17,087",,"8,127","74,713,400",565,890,,2025-04-16,28
79,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,"1,598,686,180",0.2%,"180,957",667,"15,951",,"12,329","105,625,380",575,1383,,2025-02-19,28
,,,,,,,,,,,,,,,
81,트론: 아레스,2025-10-08,"1,910,733,020",0.2%,"173,351",779,"13,748",,"55,680","609,043,210",779,2174,,2025-11-05,28
82,동화지만 청불입니다,2025-01-08,"1,564,238,340",0.1%,"168,500",668,"20,346",,"20,410","178,183,680",645,2121,,2025-02-05,28
83,정보원,2025-12-03,"1,533,365,100",0.1%,"167,700",766,"13,635",,"20,726","181,033,500",766,1567,,2025-12-31,28
84,"그 시절, 우리가 좋아했던 소녀",2025-02-21,"1,471,023,000",0.1%,"164,922",709,"18,123",,"23,304","199,290,800",660,2341,,2025-03-21,28
,,,,,,,,,,,,,,,
86,첫사랑 엔딩,2025-08-27,"1,342,856,760",0.1%,"138,470",494,"9,296",,"15,615","125,520,740",489,717,,2025-09-24,28
,,,,,,,,,,,,,,,
88,해피엔드,2025-04-30,"1,315,902,000",0.1%,"133,804",180,"8,110",,"5,935","46,554,700",103,431,,2025-05-28,28
89,만약에 우리,2025-12-31,"1,108,163,360",0.1%,"129,136",961,"2,857",,"110,325","911,688,760",961,"2,734",,2026-01-28,28
90,패딩턴: 페루에 가다!,2025-02-19,"1,096,777,900",0.1%,"126,219",228,"9,436",,"7,501","57,009,900",146,563,,2025-03-19,28
91,괜찮아 괜찮아 괜찮아!,2025-02-26,"1,042,905,140",0.1%,"118,245",588,"12,692",,"13,737","106,792,680",581,1427,,2025-03-26,28
,,,,,,,,,,,,,,,
93,개비의 매직하우스 극장판,2025-10-03,"1,040,281,110",0.1%,"111,688",434,"5,716",,"18,734","176,089,090",409,527,,2025-10-31,28
94,극장판 도라에몽: 진구의 그림이야기,2025-07-16,"961,499,100",0.1%,"109,112",204,"6,687",,"5,058","36,266,400",143,413,,2025-08-13,28
